title,label
Did Miley Cyrus and Liam Hemsworth secretly get married?,FAKE
Paris Jackson & Cara Delevingne Enjoy Night Out In Matching Outfits: They Have ‘Amazing Chemistry’,FAKE
Celebrities Join Tax March in Protest of Donald Trump,FAKE
Cindy Crawford's daughter Kaia Gerber wears a wig after dining with Harry Styles,FAKE
Full List of 2018 Oscar Nominations – Variety,FAKE
Here's What Really Happened When JFK Jr. Met Princess Diana,FAKE
Biggest celebrity scandals of 2016,FAKE
Caitlyn Jenner Addresses Rumored Romance With Sophia Hutchins,FAKE
Taylor Swift Reportedly Reacts To Tom Hiddleston’s Golden Globes Win,FAKE
"For The Love Of God, Why Can't Anyone Write Kate McKinnon A Good Movie Role?",FAKE
"Miley Cyrus, Liam Hemsworth Did NOT Get Married On Tybee Island, Despite Report",FAKE
Miley Cyrus Claims ‘Satan Is A Nice Guy; He’s Misunderstood’,FAKE
Selena Gomez Had The Perfect Response To News Of Justin Bieber’s Engagement,FAKE
Critics' Choice Awards 2018 Winners: The Complete List,FAKE
"Jennifer Aniston, Justin Theroux Not Starting Dog Fostering And Adoption Business",FAKE
"Angelina Jolie Can’t Get Over Heartbreak Of Losing Brad Pitt — Real Reason For Fury, Says Source",FAKE
He’s Hired! Ben Affleck Enlists Best Friend Matt Damon To Be His Life Coach,FAKE
Full statement: John McCain to vote no on Graham-Cassidy health care bill,FAKE
Justin Bieber Despacito,FAKE
,FAKE
Julia Roberts miracle baby at 50,FAKE
Beyonce Sipping Tea Listening To Taylor Swift’s Album: Why She’s Loving The Kanye West Diss Tracks,FAKE
"Blake Shelton, Gwen Stefani Talk 'Hookup' on 'The Voice'",FAKE
Miranda Lambert Desperate To Meet With Blake Shelton After His Reported Split From Gwen Stefani,FAKE
Pregnant Kate Middleton Hit With Cocaine Bombshell,FAKE
Jen Aniston’s Split From Justin Theroux – What Brad Pitt Really Thinks About It,FAKE
Emmys 2017: What the Nominees Are Saying,FAKE
"Caitlyn Jenner Slams the Kardashians, Says She Didn't Trust Them to Know About Her Gender Reassignment Surgery",FAKE
Chris Brown does not want Royalty to be like North West,FAKE
"7 Questionable Details About Taylor Swift And Joe Alwyn's Relationship, Including Her ""Military-Like Mission"" To Keep It Under Wraps",FAKE
Lopez /López (accent on people's names),FAKE
Nicole Kidman and Prince Harry named sexiest redheads,FAKE
Jennifer Lawrence Says ‘Mother!’ Led to Darren Aronofsky Split,FAKE
Kristen Stewart is usual scowling self on night out with Robert Pattinson,FAKE
Johnny Depp Settles Lawsuit Against His Former Business Managers,FAKE
Halle Berry (And More) To Join Keanu Reeves In Third 'John Wick' Flick,FAKE
On Air with Ryan Seacrest,FAKE
,FAKE
Swift calls out label for being 'nervous' over pop album,FAKE
Kanye West & Kim Kardashian Are Having ‘Best Sex of their Lives’: He’s So Attracted To Her,FAKE
Kylie Jenner slams 'altered' photos amid pregnancy rumors,FAKE
Kylie Jenner Jenner Kris Life Of Kylie,FAKE
Pictures of Selena Gomez Over the Years,FAKE
Katy Perry & Orlando Bloom Reportedly ‘Back On’ After ‘Robsten’ Parties Together In LA,FAKE
Ben Affleck & Jennifer Garner File For Divorce Amid Reconciliation Rumors,FAKE
Josh Duhamel Gushes Over Jennifer Garner After Dating Rumors: ‘She’s An Incredible Woman’,FAKE
"HollywoodLife Flip-Flops On Prince Harry, Meghan Markle Engagement",FAKE
Anne Hathaway Angering ‘Barbie’ Movie Producers With Demands?,FAKE
Prince Charles Ordering Camilla Parker Bowles To Get Plastic Surgery To Save Marriage ,FAKE
Kris Jenner ‘Impressed’ By How Travis Scott Is Stepping Up & Taking Care Of Stormi & Kylie,FAKE
50 Celebrities React to Donald Trump's Immigration Order,FAKE
Sean Spicer Emmys Moment: See Celebrity Reactions,FAKE
"Kim Kardashian and Kanye West Not Victims of Swatting, LAPD Clarifies",FAKE
"Biggest Engagement Rings Of 2017 — Cardi B, Caroline Wozniacki & More Celeb Diamond Bling",FAKE
Anna Wintour Net Worth,FAKE
