title,label
BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs,FAKE
Court Orders Obama To Pay $400 Million In Restitution,FAKE
UPDATE: Second Roy Moore Accuser Works For Michelle Obama Right NOW -,FAKE
Oscar Pistorius Attempts To Commit Suicide,FAKE
Trump Votes For Death Penalty For Being Gay,FAKE
Putin says: ‘Pope Francis Is Not A Man Of God’ | Must-See !!,FAKE
New York Man Wanted For Infecting 240 Men And Women With HIV!!!,FAKE
Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian,FAKE
Malia Obama Fired From Cushy Internship At Spanish Embassy,FAKE
Target to Discontinue Sale of Holy Bible,FAKE
Youngest World Leader Bans George Soros’s Foundations From Austria,FAKE
BREAKING: Hillary Clinton Has Third Heart Attack-Docs Says She ‘Won’t Survive’,FAKE
"Barack Obama Tweets SICK Attack On John McCain, Says He Should Have Died",FAKE
President Trump Underscores US-Jamaica Relations,FAKE
Actress Sandra Bullock to Hillary Clinton if You Don't Like Our President You Can Leave and Never Come Back Again You Are One Jealous Woman Who Ls Nothing to Compare With Trump I Hope He Will Arrest Y,FAKE
Gretchen Carlson: “The 2nd Amendment Was Written Before Guns Were Invented”,FAKE
"Pope Francis At Mass: ‘Jesus Is Metaphorical, Not Literal’",FAKE
Black Men Arrested In Philadelphia Starbucks Settle For $2 Million,FAKE
ICE Detainer Issued for Suspected Wine Country Arsonist in Sonoma Jail,FAKE
Former presidents walk fine line in Trump’s America,FAKE
"Inside the Snapchat bloodbath: 60 minutes of terror which left 17 dead, bodies in classrooms and kids 'full of blood'",FAKE
BREAKING: Nancy Pelosi To Resign After New Revelations – NRTOnline,FAKE
"Donald Trump inauguration: Artists who won't perform at ceremony include Elton John, Celine Dion and John Legend",FAKE
BREAKING: Leaked Picture Of Obama Being Dragged Before A Judge In Handcuffs For Wiretapping Trump,FAKE
Clinton Campaign official arrested by FBI on child rape/trafficking charges,FAKE
"DONALD TRAIN NEWS: BREAKING: Rosa Parks’ Granddaughter SLAMS Racist Democrats, Endorses Trump",FAKE
"NRA President Jim Porter Falsely Accused of Saying, “It’s Only A Matter Of Time Before We Can Own Colored People Again”",FAKE
Biden raises possibility of 2020 presidential bid,FAKE
"NYC: PHYSICIAN and Wife Jump To Death…Leave Kids Behind Because They “Can’t Afford The Health Care” Only Hours After McCain, Murkowski, Collins and EVERY Democrat Voted To Keep Obamacare -",FAKE
Snapchat is shutting down!,FAKE
,FAKE
,FAKE
,FAKE
Rice told investigators why she unmasked Trump aides,FAKE
BREAKING: Meryl Streep Just Got Fired From A Major Project For Lying About Trump -,FAKE
Clinton Email: We Must Destroy Syria For Israel,FAKE
CNN host Fareed Zakaria calls for jihad rape of white women,FAKE
Could Trump Win The Nobel Peace Prize? Peace in Korean Peninsula Would Be Significant Foreign Policy Achievement,FAKE
UPDATE: Hillary Clinton Leaves The Country As Mueller Indictment Is Announced,FAKE
BREAKING: Illegal Muslim From Iran Arrested For Starting California Wildfire,FAKE
"NFL Lawyer, Who Claimed Super Bowl Is ‘Rigged’, Found Dead",FAKE
"Japanese Whaling Crew Eaten Alive By Killer Whales, 16 dead",FAKE
,FAKE
Barrels removed from Clinton property contain parts from 3 missing women.,FAKE
"Liberal Women Hate Me Because Of My “Striking Beauty And Intellect”, Says Kellyanne Conway",FAKE
Buzz Aldrin ‘passes UFO lie detector test leaving experts convinced that he encountered alien life’,FAKE
Full text: Jeff Flake on Trump speech transcript,FAKE
Mike Pence: “Allowing Rape Victims To Have Abortions Will Lead To Women Trying To Get Raped”,FAKE
"Paul Ryan: “22 Million Americans Choose To Be Poor, So It’s Their Own Problem If They Can’t Afford To Be Healthy”",FAKE
Pope Francis: Gun Owners 'Can’t Call Themselves Christian' Anymore,FAKE
About Mayor Bhalla,FAKE
Neon Nettle,FAKE
,FAKE
,FAKE
,FAKE
Broward County Sheriff Fired For Lying About Parkland,FAKE
Tom Price: “It’s Better For Our Budget If Cancer Patients Die More Quickly”,FAKE
