title,label
National Federation of Independent Business,REAL
comments in Fayetteville NC,REAL
"Romney makes pitch, hoping to close deal : Elections : The Rocky Mountain News",REAL
Democratic Leaders Say House Democrats Are United Against GOP Default Act,REAL
"Budget of the United States Government, FY 2008",REAL
Donald Trump exaggerates when he says China has 'total control' over North Korea,REAL
25th Amendment,REAL
子供たちのコト。私のコト。,REAL
"Briefing by White House Press Secretary Robert Gibbs, 9/10/09",REAL
A Solar Grand Plan: Scientific American,REAL
Covering Young Adults Under the Affordable Care Act: The Importance of Outreach and Medicaid Expansion,REAL
"Harry Reid Says GOP Should ""Stop Crying"" About Reconciliation",REAL
Political TV Ad Archive » PolAd,REAL
Bureau of Labor Statistics Data,REAL
Summary of the Affordable Care Act,REAL
'This Week' Transcript: Holder and Giuliani,REAL
Impeachment Talk Becomes a Cynical Game,REAL
Preventing the Flu: Good Health Habits Can Help Stop Germs,REAL
Las Vegas campaign rally,REAL
,REAL
MoveOn.org Political Action: 10 things to know about McCain,REAL
Rand Paul Campaigns in Iowa for Miller-Meeks,REAL
Hispanic Populations Share of Wealth Likely to Increase by 2025,REAL
Hillary Clinton says guns exceed next nine categories as leading cause of death for young black men,REAL
Already a lost decade: Working-age household income down more than 10% since 2000,REAL
U.S. Senate: Supreme Court Nominations: present-1789,REAL
PolitiFact’s annotated transcript of the second presidential debate,REAL
Obamas comments on capandtrade costs,REAL
Des Moines Register,REAL
The Tonight Show with Jay Leno,REAL
'This Week' Transcript: Pelosi and Gates,REAL
Losing Ground Foreclosures in the Subprime Market and Their Cost to Homeowners,REAL
Joint DHS and ODNI Election Security Statement,REAL
U.S. Senate: U.S. Senate Roll Call Votes 110th Congress,REAL
Palin-Huey,REAL
"Employment, Hours, and Earnings from the Current Employment Statistics survey (National) Home Page",REAL
"No, We Can’t? Or Won’t?",REAL
Barack Obama’s Remarks in St. Paul,REAL
letter to Chaffetz and Cummings,REAL
The Arena - Politico's daily debate with policymakers and opinion shapers,REAL
The Economic Burden Caused by Tax Code Complexity,REAL
McDonnell Letter Urges No Delay in Virginia Offshore Energy Exploration and Development,REAL
"To young people who are undocumented: This is your country, too.",REAL
Transcript of AP interview with Trump,REAL
,REAL
Change We Can Believe In,REAL
Infrastructure Report Card 2005,REAL
"GOP Task Force, Lone Democrat Eye Trafficking Law",REAL
Dr. James Dobson,REAL
,REAL
McCain: McSame as Bush,REAL
john.he.is,REAL
,REAL
Remarks on counterterrorism at Stanford University,REAL
iQ media Clip Player,REAL
Remarks by the President on Increasing Oversight on Manipulation in Oil Markets,REAL
U.S. Army's Involvement in Motorsports,REAL
"UN Refugee Agency welcomes arrival of 10,000th Syrian refugee resettled to United States",REAL
Watch a replay of Fox News' 5 p.m. presidential debate,REAL
It’s Time for the Senate to Do Its Job – Congressman Mike Honda – Medium,REAL
"Ralph Nader on Barack Obama: ""It is Quite Clear He is a Corporate Candidate from A to Z""",REAL
Marco Rubio says Ted Cruz voted for defense cuts in Rand Paul's budget proposal,REAL
Births: Preliminary Data for 2005,REAL
Congress: Job Ratings,REAL
"Before leaving governor’s office in 2006, Mitt Romney’s staff eliminated e-mail records",REAL
"Transcript: The Democratic debate in Milwaukee, annotated",REAL
"Crist has experience to be vice president, McCain says",REAL
Strong Words in Ohio as Obama and Clinton Press On,REAL
LexisNexis(R) Publisher,REAL
“Dictionary” on President Obama’s Health Care Taxes,REAL
,REAL
,REAL
Memory Lapse? Trump Seeks Distance From 'Advisor' With Past Ties to Mafia,REAL
Gross Domestic Product Percent change from preceding period,REAL
Who Benefits from President Trump’s Child Care Proposals,REAL
Organizing for Action,REAL
2008 Presidential Election,REAL
The Return of the Viral Email,REAL
'This Week' Transcript: Rep. Paul Ryan,REAL
International Energy Statistics,REAL
Interview with Sen John McCain,REAL
Obama campaign radio ad,REAL
Remarks by the President on a New Strategy for Afghanistan and Pakistan,REAL
"At Trump hotel site, immigrant workers wary",REAL
"Preliminary Analysis of the Chairman’s Mark for the America’s Healthy Future Act, as Amended",REAL
Candidate Comparison,REAL
Political TV Ad Archive » PolAd,REAL
Ted Cruz' Full 'Meet the Press' Interview,REAL
"""New Energy"" Ad",REAL
Session Law,REAL
Interview with Rudy Giuliani,REAL
,REAL
,REAL
"'This Week' Transcript: McKay, Napolitano, Salazar and Allen",REAL
Missing Teen-Ager Found in New Jersey,REAL
Full text: Jeff Flake on Trump speech transcript,REAL
'This Week' Transcript: Biden,REAL
Rising to a New Generation of Global Challenges,REAL
Browse Congressional Bills,REAL
Taxable Estates Estate Tax Liability and Average Estate Tax Rate By Size of Gross Estate,REAL
Biden Issues Statement Following Conversation with Musharraf,REAL
Remarks by the President on the American Jobs Act,REAL
remarks in Philadelphia,REAL
Krugman calls Senate health care bill similar to law in Massachusetts,REAL
US Government Accountability Office Report to Congressional Committees,REAL
Philando Castile Had Been Stopped 52 Times By Police,REAL
Regular Session Senate Transcript,REAL
No More Dragging Up the Rear Arkansas Bows To Pressures To Put Schools To the Test,REAL
05/27/99 Committee on the Judiciary,REAL
About Bright Horizons Child Care & Family Solutions,REAL
No MidOct Paycheck for Troops if Government Shuts Down Lawmaker says,REAL
Full Interview Transcript: President Barack Obama,REAL
National Income and Product Accounts Table 175 Relation of Gross Domestic Product,REAL
America's Enduring Strength,REAL
